fold_id,feature,coefficient
14,ledoit_wolf_to_sample_condition_ratio,-0.04653768259339108
14,rmt_to_sample_condition_ratio,0.1011075766055484
14,trailing_realized_volatility,0.10014136566164163
14,__intercept__,0.07620974475481378
15,sample_avg_pairwise_correlation,-0.00018588932778029705
15,sample_condition_number,-0.010191840440875653
15,ledoit_wolf_condition_number,0.010068662422551356
15,rmt_condition_number,-0.07355496610838112
15,ledoit_wolf_to_sample_condition_ratio,-0.045719424650685896
15,rmt_to_sample_condition_ratio,0.09382828266504266
15,trailing_realized_volatility,0.09586008386827022
15,__intercept__,0.07438320447114219
16,sample_avg_pairwise_correlation,-0.004695042684834093
16,sample_condition_number,-0.006636502173413502
16,ledoit_wolf_condition_number,0.00558233865038033
16,rmt_condition_number,-0.0603877702160675
16,ledoit_wolf_to_sample_condition_ratio,-0.04091615576797621
16,rmt_to_sample_condition_ratio,0.07940985765845761
16,trailing_realized_volatility,0.08837332792948448
16,__intercept__,0.07235862060923191
17,sample_avg_pairwise_correlation,-0.007526830626155424
17,sample_condition_number,0.00089441572516102
17,ledoit_wolf_condition_number,-0.0035848450286943955
17,rmt_condition_number,-0.04460989354331037
17,ledoit_wolf_to_sample_condition_ratio,-0.03310378994437535
17,rmt_to_sample_condition_ratio,0.06261884117121216
17,trailing_realized_volatility,0.08021758297390692
17,__intercept__,0.07034575291934383
18,sample_avg_pairwise_correlation,-0.00806431688446937
18,sample_condition_number,0.009642673697164284
18,ledoit_wolf_condition_number,-0.011784677276022651
18,rmt_condition_number,-0.03461385624083202
18,ledoit_wolf_to_sample_condition_ratio,-0.026267950730416743
18,rmt_to_sample_condition_ratio,0.05249707428838187
18,trailing_realized_volatility,0.0749009547827506
18,__intercept__,0.06835746134214411
19,sample_avg_pairwise_correlation,-0.008542585114572792
19,sample_condition_number,0.006965384183062012
19,ledoit_wolf_condition_number,-0.010266073151181969
19,rmt_condition_number,-0.031219964319136016
19,ledoit_wolf_to_sample_condition_ratio,-0.025580848866990007
19,rmt_to_sample_condition_ratio,0.04875393410919361
19,trailing_realized_volatility,0.07232834858447225
19,__intercept__,0.06666444704374765
20,sample_avg_pairwise_correlation,-0.0099315364569302
20,sample_condition_number,0.007483260114254815
20,ledoit_wolf_condition_number,-0.010145002603962373
20,rmt_condition_number,-0.030307662884487708
20,ledoit_wolf_to_sample_condition_ratio,-0.023709674085729642
